num,name,addr,publisher,recommend,star,price
1,人间至美：朱光潜经典散文集,http://img3m7.ddimg.cn/83/17/28522577-1_l_3.jpg,朱光潜，酷威文化 出品,100%推荐,29127次,¥14.90
2,尤尔小屋的猫,http://img3m0.ddimg.cn/33/33/25197810-1_l_3.jpg,2020-05-01 花山文艺出版社,100%推荐,103464次,¥3.99
3,谜案鉴赏,http://img3m1.ddimg.cn/66/36/28470981-1_l_3.jpg,莉莉・海沃德、译者张玫瑰，酷威文化 出品,100%推荐,72135次,¥19.70
4,脱口而出，妙语连珠：令人终生难忘的即兴演说书（成功与否并不取决于经验多寡，而是在于使用什么样的方法）,http://img3m2.ddimg.cn/97/23/24157582-1_l_13.jpg,2018-01-01 百花洲文艺出版社,100%推荐,58087次,¥21.80
5,高尔基成长三部曲（童年、在人间、我的大学）,http://img3m4.ddimg.cn/77/13/27911444-1_l_5.jpg,[美]莉比・菲舍尔・赫尔曼 著，汪德均 /刘建洲/马遇乐 译,100%推荐,44040次,¥19.70
6,上帝怀中的羔羊：美国普利策文学奖、法国费米娜文学奖获奖作品,http://img3m5.ddimg.cn/96/20/25277865-1_l_3.jpg,2019-06-30 天津人民出版社,100%推荐,54838次,¥53.50
7,男孩的学习力,http://img3m6.ddimg.cn/38/25/28541936-1_l_3.jpg,安德里・赛德涅夫 著，	廖露梅 Sanying Huang 王禹 译,100%推荐,16901次,¥19.70
8,空间简史(与《时间简史》《人类简史》《未来简史》并称“四大简史”),http://img3m1.ddimg.cn/86/2/25546541-1_l_9.jpg,2016-08-01 天津人民出版社,100%推荐,68310次,¥3.99
9,守护故事的人(一部与《杀死一只知更鸟》相同深度和力量的作品),http://img3m5.ddimg.cn/64/16/25110325-1_l_3.jpg,[苏]高尔基 著，桑卓 译，酷威文化 出品,100%推荐,59236次,¥19.90
10,阴谋与爱情,http://img3m0.ddimg.cn/65/35/28470980-1_l_5.jpg,2019-08-01 四川文艺出版社,100%推荐,70054次,¥3.99
