name,picture,num,star,director,introduction
肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,1,9.7,弗兰克·德拉邦特 Frank Darabont,希望让人自由。
霸王别姬 / 再见，我的妾  /  Farewell My Concubine,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,2,9.6,陈凯歌 Kaige Chen,风华绝代。
阿甘正传 / Forrest Gump / 福雷斯特·冈普,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,3,9.5,罗伯特·泽米吉斯 Robert Zemeckis,一部美国近现代史。
这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,4,9.4,吕克·贝松 Luc Besson,怪蜀黍和小萝莉不得不说的故事。
泰坦尼克号 / Titanic / 铁达尼号(港 / 台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,5,9.4,詹姆斯·卡梅隆 James Cameron,失去的才是永恒的。 
美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,6,9.5,罗伯托·贝尼尼 Roberto Benigni,最美的谎言。
千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  千与千寻的神隐,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,7,9.4,宫崎骏 Hayao Miyazaki,最好的宫崎骏，最好的久石让。 
辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,8,9.5,史蒂文·斯皮尔伯格 Steven Spielberg,拯救一个人，就是拯救整个世界。
盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg,9,9.3,克里斯托弗·诺兰 Christopher Nolan,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事 / Hachi: A Dog's Tale / 秋田犬八千(港)  /  忠犬小八(台),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg,10,9.4,莱塞·霍尔斯道姆 Lasse Hallström,永远都不能忘记你所爱的人。
海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,11,9.3,朱塞佩·托纳多雷 Giuseppe Tornatore,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,12,9.3,克里斯托弗·诺兰 Christopher Nolan,爱是一种力量，让我们超越时空感知它的存在。
楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,13,9.3,彼得·威尔 Peter Weir,如果再也不能见到你，祝你早安，午安，晚安。
三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,14,9.2,拉库马·希拉尼 Rajkumar Hirani,英俊版憨豆，高情商版谢耳朵。
机器人总动员 / WALL·E / 太空奇兵·威E(港)  /  瓦力(台),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,15,9.3,安德鲁·斯坦顿 Andrew Stanton,小瓦力，大人生。
放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,16,9.3,克里斯托夫·巴拉蒂 Christophe Barratier,天籁一般的童声，是最接近上帝的存在。 
